FY,Received From,Value,Party (specific),Party Group,Receipt type,Category,Subcategory,AEC
2022,Mineralogy Pty Ltd,"50,000,000",Palmer's UAP,Palmer/United Aus,Donation Received,Energy and Resource Companies,Fossil Fuel Industry > Coal,🔗
2022,Mineralogy Pty Ltd,"30,200,000",Palmer's UAP,Palmer/United Aus,Donation Received,Energy and Resource Companies,Fossil Fuel Industry > Coal,🔗
2022,Australian Electoral Commission,"25,556,710",Labor (Fed),Labor,Other Receipt,Government,,🔗
2022,Mineralogy Pty Ltd,"10,000,000",Palmer's UAP,Palmer/United Aus,Donation Received,Energy and Resource Companies,Fossil Fuel Industry > Coal,🔗
2022,Mineralogy Pty Ltd,"6,500,000",Palmer's UAP,Palmer/United Aus,Donation Received,Energy and Resource Companies,Fossil Fuel Industry > Coal,🔗
2022,Mineralogy Pty Ltd,"5,000,000",Palmer's UAP,Palmer/United Aus,Donation Received,Energy and Resource Companies,Fossil Fuel Industry > Coal,🔗
2022,Mineralogy Pty Ltd,"4,500,000",Palmer's UAP,Palmer/United Aus,Donation Received,Energy and Resource Companies,Fossil Fuel Industry > Coal,🔗
2022,Mineralogy Pty Ltd,"4,000,000",Palmer's UAP,Palmer/United Aus,Donation Received,Energy and Resource Companies,Fossil Fuel Industry > Coal,🔗
2022,Victorian Electoral Commission,"3,306,650",Liberals (VIC),Liberal/Nationals,Other Receipt,Government,,🔗
2022,ECSA,"3,007,243",Labor (SA),Labor,Other Receipt,Government,,🔗
2022,Cormack Foundation Pty Ltd,"3,000,000",Liberal Party (Fed),Liberal/Nationals,Donation Received,Political Fundraising Bodies,Associated Entities,🔗
2022,Australian Electoral Commission,"2,862,370",Greens (VIC),Greens,Other Receipt,Government,,🔗
2022,Victorian Electoral Commission,"2,784,420",Labor (VIC),Labor,Other Receipt,Government,,🔗
2022,ECSA,"2,557,748",Liberals (SA),Liberal/Nationals,Other Receipt,Government,,🔗
2022,Australian Taxation Office,"2,397,976",Labor (Fed),Labor,Other Receipt,Government,,🔗
2022,Westpac Banking Corporation,"2,300,000",Liberals (NSW),Liberal/Nationals,Other Receipt,Banking and Finance Industry,,🔗
2022,Mineralogy Pty Ltd,"2,032,474",Palmer's UAP,Palmer/United Aus,Donation Received,Energy and Resource Companies,Fossil Fuel Industry > Coal,🔗
2022,Victorian Electoral Commission,"1,883,795",Labor (VIC),Labor,Other Receipt,Government,,🔗
2022,Mineralogy Pty Ltd,"1,750,000",Palmer's UAP,Palmer/United Aus,Donation Received,Energy and Resource Companies,Fossil Fuel Industry > Coal,🔗
2022,Vapold Pty Ltd,"1,587,500",Liberals (VIC),Liberal/Nationals,Other Receipt,Political Fundraising Bodies,Associated Entities,🔗
2022,Pratt Holdings Pty Ltd,"1,500,000",Labor (Fed),Labor,Donation Received,Manufacturing and Heavy Industry,,🔗
2022,Westpac Banking Corporation,"1,500,000",Labor (Fed),Labor,Other Receipt,Banking and Finance Industry,,🔗
2022,Mineralogy Pty Ltd,"1,346,156",Palmer's UAP,Palmer/United Aus,Donation Received,Energy and Resource Companies,Fossil Fuel Industry > Coal,🔗
2022,Country Labor (NSW),"1,327,912",Labor (NSW),Labor,Other Receipt,Intra-Political Party,,🔗
2022,Department of Finance,"1,100,000",Labor (Fed),Labor,Other Receipt,Government,,🔗
2022,Department of Finance,"1,100,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Government,,🔗
2022,Victorian Electoral Commission,"1,027,219",Greens (VIC),Greens,Other Receipt,Government,,🔗
2022,Pratt Holdings Pty Ltd,"1,000,000",Liberal Party (Fed),Liberal/Nationals,Donation Received,Manufacturing and Heavy Industry,,🔗
2022,Labor Holdings Pty Ltd,"1,000,000",Labor (QLD),Labor,Donation Received,Political Fundraising Bodies,Associated Entities,🔗
