     ,Donor Name                                                                                 ,Type       ,Industry Sector                                                       ,Canonical Industry Sector
   0 ,100 Percent Events Pty Ltd                                                                 ,company    ,Event management and planning.                                        ,Event Management
   1 ,117 York St Pty Ltd                                                                        ,company    ,Unknown                                                               ,Unknown
   2 ,26 Summers Pty Ltd                                                                         ,company    ,Unknown                                                               ,Unknown
   3 ,3 Oceans Property Pty Ltd                                                                  ,company    ,Unknown                                                               ,Unknown
   4 ,321 Warrigal Road Pty Ltd (formerly Shannons Corporation Pty Ltd                           ,company    ,Unknown                                                               ,Unknown
   5 ,41 Hindmarsh Square Developments Pty Ltd                                                   ,company    ,Real Estate/Property Development                                      ,Real Estate Development
   6 ,55 Norton Street Pty Ltd                                                                   ,company    ,Unknown                                                               ,Unknown
   7 ,Australia Pacific Airports Corporation                                                     ,company    ,Airport Operations/Aviation                                           ,Aviation
   8 ,Australian Automobile Association                                                          ,company    ,Automotive/Transportation                                             ,Automotive
   9 ,Australian Automotive Dealer Association                                                   ,company    ,Automotive/Automotive Retail Industry                                 ,Automotive Retail
  10 ,679 Bourke St Pty Ltd                                                                      ,company    ,Unknown                                                               ,Unknown
  11 ,88 Terrace Road Pty Ltd                                                                    ,company    ,Unknown                                                               ,Unknown
  12 ,Australian Finance Industry Association                                                    ,company    ,Financial Services/Finance                                            ,Financial Services
  13 ,Australian Forest Products Association                                                     ,company    ,The industry sector for Australian Forest Products Association is     ,Timber and Forestry
  14 ,Australian Hotels Association - Federal Office                                             ,company    ,Hospitality and Tourism Industry                                      ,Hospitality and Tourism
  15 ,Australian Hotels Association (N.S.W.)                                                     ,company    ,Hospitality/Hotel industry                                            ,Hospitality and Tourism
  16 ,Australian Hotels Association (SA Branch)                                                  ,company    ,Hospitality/Tourism.                                                  ,Hospitality and Tourism
  17 ,A & E Edgecombe Nominees Pty Ltd                                                           ,company    ,Unknown                                                               ,Unknown
  18 ,A & K (NT) Pty Ltd                                                                         ,company    ,Unknown                                                               ,Unknown
  19 ,A J Bush & Sons (Manufactures) Pty Ltd                                                     ,company    ,Meat and Poultry Manufacturing                                        ,Food Manufacturing
  20 ,A Little Something Else Pty Ltd                                                            ,company    ,Unknown                                                               ,Unknown
  21 ,"Barlow, Lisa Jane"                                                                        ,individual ,                                                                      ,
  22 ,A Raptis & Sons Pty Ltd                                                                    ,company    ,Real Estate/Property Development                                      ,Real Estate Development
  23 ,"Baxter, Steve"                                                                            ,individual ,                                                                      ,
  24 ,A W Edwards Pty Ltd                                                                        ,company    ,Construction and Building                                             ,Construction
  25 ,BB Win Win Outcomes                                                                        ,company    ,Unknown                                                               ,Unknown
  26 ,A W Tyree Transformers Pty Ltd                                                             ,company    ,Electrical or Manufacturing                                           ,Manufacturing
  27 ,"Blackmore, Marcus"                                                                        ,individual ,                                                                      ,
  28 ,A&K (NT) Pty Ltd and Minegain Pty Ltd                                                      ,company    ,Unknown                                                               ,Unknown
  29 ,A.A. Scott Pty Ltd                                                                         ,company    ,Unknown                                                               ,Unknown
  30 ,AA Holdings Pty Ltd                                                                        ,company    ,Unknown                                                               ,Unknown
  31 ,"Brown, David"                                                                             ,individual ,                                                                      ,
  32 ,Campact e.V.                                                                               ,individual ,                                                                      ,
  33 ,"Campbell, Roderick"                                                                       ,individual ,                                                                      ,
  34 ,"Cane, Michael"                                                                            ,individual ,                                                                      ,
  35 ,"Catsaras, Marcus"                                                                         ,individual ,                                                                      ,
  36 ,"Chesworth, Bradley"                                                                       ,individual ,                                                                      ,
  37 ,AAM Adelaide Pty Ltd                                                                       ,company    ,Engineering/Construction/Infrastructure                               ,Engineering and Construction
  38 ,Chey Family Trust                                                                          ,individual ,                                                                      ,
  39 ,"Church, John"                                                                             ,individual ,                                                                      ,
  40 ,AAPT Limited                                                                               ,company    ,Telecommunications                                                    ,Telecommunications
  41 ,Clubs Australia                                                                            ,company    ,Entertainment/Recreation                                              ,Entertainment
  42 ,Cocoons SDA Care                                                                           ,company    ,SDA care for individuals with disabilities and special                ,Healthcare Services
  43 ,Commonwealth Bank of Australia                                                             ,company    ,Financial Services/Banking and Finance                                ,Banking and Finance
  44 ,AB Investments (Sladell Pty Ltd & Mosgiel Pty Ltd)                                         ,company    ,Unknown                                                               ,Unknown
  45 ,Abacus Australian Mutuals Limited                                                          ,company    ,Financial Services/Banking Industry                                   ,Banking and Finance
  46 ,Council of Australian Life Insurers (CALI)                                                 ,company    ,Insurance/Financial Services                                          ,Insurance
  47 ,Abacus Calculators (WA) Pty Ltd                                                            ,company    ,Retail/Electronics                                                    ,Electronics Retail
  48 ,Abalcloud Pty Ltd                                                                          ,company    ,Unknown                                                               ,Unknown
  49 ,Customer Owned Banking Association                                                         ,company    ,Financial Services                                                    ,Banking and Finance
  50 ,Deloitte Touche Tohmatsu                                                                   ,company    ,Professional services/consulting                                      ,Professional Services
  51 ,"Dowling, Christy"                                                                         ,individual ,                                                                      ,
  52 ,Abalone Fishermens Co-Operative Ltd                                                        ,company    ,Seafood industry                                                      ,Seafood Industry
  53 ,Abbey Lea Pty Ltd atf The Lea Trust                                                        ,company    ,Unknown                                                               ,Unknown
  54 ,ABC Tissue Products Pty Ltd                                                                ,company    ,Consumer goods/paper products                                         ,Consumer Goods
  55 ,"English, Douglas"                                                                         ,individual ,                                                                      ,
  56 ,Ernst & Young                                                                              ,company    ,Professional services/consulting                                      ,Professional Services
  57 ,"Espie, Paul"                                                                              ,individual ,                                                                      ,
  58 ,Estate of the Late David Walsh                                                             ,individual ,                                                                      ,
  59 ,Estate of the Late Geoffrey Lawson Hook                                                    ,individual ,                                                                      ,
  60 ,"Facey, Andrew"                                                                            ,individual ,                                                                      ,
  61 ,"Fairfax, Nicholas"                                                                        ,company    ,"Media (specifically, news and publishing)"                           ,Media
  62 ,"Featherstone, Johanna"                                                                    ,individual ,                                                                      ,
  63 ,Fenwick Family Foundation                                                                  ,individual ,                                                                      ,
  64 ,Abigroup Contractors Pty Ltd                                                               ,company    ,Construction and Infrastructure                                       ,Construction
  65 ,"Fisher, Belinda"                                                                          ,individual ,                                                                      ,
  66 ,Abigroup Ltd (NSW)                                                                         ,company    ,Construction/Engineering                                              ,Construction
  67 ,"Fregon, Matthew"                                                                          ,individual ,                                                                      ,
  68 ,"Gillespie, Roger"                                                                         ,individual ,                                                                      ,
  69 ,ABN AMRO Australia Pty Ltd                                                                 ,company    ,Finance and banking.                                                  ,Banking and Finance
  70 ,"Gray, Ben"                                                                                ,individual ,                                                                      ,
  71 ,"Gunning, Robert"                                                                          ,individual ,                                                                      ,
  72 ,ABN AMRO Services Australia Ltd                                                            ,company    ,Financial services                                                    ,Financial Services
  73 ,Abney Ltd                                                                                  ,company    ,Unknown                                                               ,Unknown
  74 ,"Haseler, Murray Eric"                                                                     ,individual ,                                                                      ,
  75 ,HCF                                                                                        ,company    ,The industry sector for HCF is financial services                     ,Financial Services
  76 ,Absoe Pty Ltd                                                                              ,company    ,Furniture and Wood Product Manufacturing                              ,Furniture Manufacturing
  77 ,Holding Redlich                                                                            ,company    ,Law/Legal Services                                                    ,Legal Services
  78 ,Acadan Pty Ltd                                                                             ,company    ,Unknown                                                               ,Unknown
  79 ,Accenture Australia Ltd                                                                    ,company    ,Business consulting and technology services.                          ,
  80 ,INPEX                                                                                      ,company    ,Energy/Oil and Gas                                                    ,Energy
  81 ,Access Solutions Tas Pty Ltd                                                               ,company    ,Construction/Building Services.                                       ,
  82 ,Ace Gutters Pty Ltd                                                                        ,company    ,Construction/Building Materials                                       ,Building Materials
  83 ,Integrated Waste Services                                                                  ,company    ,Waste management and environmental services.                          ,
  84 ,Acer Computer Australia Pty Ltd                                                            ,company    ,Technology/Computer Hardware                                          ,Computer Hardware
  85 ,ACN 002 482 233 Pty Ltd                                                                    ,company    ,Unknown                                                               ,Unknown
  86 ,James Taylor                                                                               ,individual ,                                                                      ,
  87 ,Action Sheetmetal Pty Ltd                                                                  ,company    ,Construction and Manufacturing (specifically sheetmetal fabrication   ,Manufacturing
  88 ,Adamco Ltd                                                                                 ,company    ,Unknown                                                               ,Unknown
  89 ,Adani Mining Pty Ltd                                                                       ,company    ,Energy/Resources industry                                             ,Energy
  90 ,ADCO CONSTRUCTIONS PTY LTD                                                                 ,company    ,Construction/Building/Engineering                                     ,Engineering
  91 ,Adcon Contracting Group Pty Ltd                                                            ,company    ,Construction and contracting                                          ,Construction
  92 ,"Keldoulis, Robert"                                                                        ,individual ,                                                                      ,
  93 ,"King, Ali"                                                                                ,individual ,                                                                      ,
  94 ,"Kirby, John"                                                                              ,individual ,                                                                      ,
  95 ,KPMG Australia                                                                             ,company    ,Professional services/consulting                                      ,Professional Services
  96 ,"Krups, Matthias"                                                                          ,individual ,                                                                      ,
  97 ,Adcon Vic Pty Ltd                                                                          ,company    ,Unknown                                                               ,Unknown
  98 ,Addenbrooke Pty Ltd                                                                        ,company    ,Unknown                                                               ,Unknown
  99 ,Adelaide Bank Limited                                                                      ,company    ,Banking                                                               ,Banking and Finance
